time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-04-10T22:21:44.330Z,13.6704,-89.3237,5.5,3.4,ml,,164,0.091,0.35,us,us10008gdr,2017-07-05T18:09:55.040Z,4km W of Santa Tecla  El Salvador,earthquake,4.6,7.9,0.081,20,reviewed,us,us
2017-04-10T20:02:03.660Z,13.6702,-89.2695,6.39,3.5,ml,,157,0.04,0.68,us,us10008gdm,2017-07-05T18:09:55.040Z,1km SE of Santa Tecla  El Salvador,earthquake,5.2,10.6,0.076,23,reviewed,us,us
2017-04-10T02:13:17.560Z,13.6363,-89.3209,6.91,3.6,ml,,163,0.1,0.55,us,us10008g5e,2017-07-05T18:09:54.040Z,6km SW of Santa Tecla  El Salvador,earthquake,4.7,9.1,0.071,26,reviewed,us,us
2017-01-21T07:31:29.540Z,13.2037,-89.3085,60.69,4.4,mb,,141,0.486,0.75,us,us10007ulc,2017-04-12T02:29:03.040Z,31km S of La Libertad  El Salvador,earthquake,7,10.5,0.058,86,reviewed,us,us
2017-01-04T16:45:08.790Z,13.1006,-89.3635,68.22,5,mb,,114,0.596,0.87,us,us10007pxt,2017-03-27T23:53:22.040Z,43km S of La Libertad  El Salvador,earthquake,6.8,7,0.031,324,reviewed,us,us
2016-12-30T11:23:05.350Z,16.2179,-87.7557,22.6,4.4,mb,,28,2.14,1.28,us,us10007nrb,2017-03-23T22:52:10.040Z,38km NNE of Baja Mar  Honduras,earthquake,5.3,5.9,0.062,75,reviewed,us,us
2016-12-27T05:14:24.810Z,12.9913,-88.6454,69.23,4.6,mwr,,110,0.896,1.06,us,us10007mz5,2017-03-23T22:52:04.040Z,33km SSW of Puerto El Triunfo  El Salvador,earthquake,7.1,6.4,0.066,22,reviewed,us,us
2016-12-25T23:03:38.480Z,13.0196,-88.9792,29.54,4,md,,210,0.707,0.52,us,us10007nuz,2017-03-23T22:52:03.040Z,53km S of El Rosario  El Salvador,earthquake,7.3,15.8,,,reviewed,us,snet
2016-12-18T08:12:19.210Z,13.1331,-88.9451,48.22,4.3,mb,,184,0.616,1.13,us,us10007u9x,2017-03-16T02:31:27.040Z,41km SSW of Zacatecoluca  El Salvador,earthquake,4.3,18.7,0.217,6,reviewed,us,us
2016-12-11T14:57:01.150Z,13.1997,-89.2246,57.46,4.3,mb,,169,0.484,1.1,us,us10007sxt,2017-03-09T02:14:27.040Z,33km SSE of La Libertad  El Salvador,earthquake,8.2,7.6,0.142,14,reviewed,us,us
2016-11-28T06:37:08.250Z,15.5716,-88.4126,10,4.4,mb,,48,1.347,1.17,us,us10007cvx,2017-02-23T00:11:51.040Z,13km WSW of Potrerillos  Honduras,earthquake,5.5,2,0.061,78,reviewed,us,us
2016-11-15T23:06:48.640Z,12.9855,-86.0874,19.31,3.9,mwr,,43,0.167,1.12,us,usa0014cef,2017-02-09T03:02:30.040Z,14km SW of Jinotega  Nicaragua,earthquake,3.3,4,0.071,19,reviewed,us,us
2016-11-15T07:36:38.460Z,12.94,-88.9465,44.05,4.1,mb,,188,0.792,1,us,us100079zw,2017-02-09T03:02:29.040Z,57km SW of Puerto El Triunfo  El Salvador,earthquake,3.5,16.7,0.26,4,reviewed,us,us
2016-09-29T20:23:14.390Z,16.1182,-84.9751,10,5.3,mww,,23,3.02,0.83,us,us10006txy,2016-12-14T03:17:57.040Z,40km NE of Cusuna  Honduras,earthquake,6.5,1.8,,,reviewed,us,us
2016-09-17T16:27:47.270Z,12.9663,-88.7395,61.74,4.9,mb,,70,0.861,1.08,us,us10006qfq,2016-12-12T23:01:27.040Z,40km SSW of Puerto El Triunfo  El Salvador,earthquake,5.7,6,0.058,94,reviewed,us,us
2016-09-12T11:49:23.020Z,12.9647,-88.7968,46.31,4.1,mb,,191,0.833,1.46,us,us10006p7t,2016-12-07T02:56:12.040Z,44km SW of Puerto El Triunfo  El Salvador,earthquake,4.2,21.7,0.26,4,reviewed,us,us
2016-09-09T22:36:21.120Z,13.2605,-88.7122,102.76,4.4,mb,,146,0.659,0.7,us,us10006nh0,2016-12-07T02:56:08.040Z,15km WSW of Jiquilisco  El Salvador,earthquake,6.2,8.3,0.046,134,reviewed,us,us
2016-09-09T06:54:23.780Z,13.3663,-89.0828,52.37,4.2,mb,,165,0.349,1.01,us,us20007cas,2016-12-07T02:56:07.040Z,15km SSW of El Rosario  El Salvador,earthquake,7.3,3.3,0.216,6,reviewed,us,us
2016-08-05T08:14:21.150Z,13.0191,-88.6023,67.01,4.3,mb,,151,0.903,0.79,us,us10006cb7,2016-10-26T03:10:19.040Z,29km S of Puerto El Triunfo  El Salvador,earthquake,7.3,8,0.137,15,reviewed,us,us
2016-07-19T08:31:29.420Z,13.0142,-86.8614,3.95,3.8,mb,,116,0.365,0.98,us,us20006h2k,2016-09-17T01:27:50.040Z,5km ESE of Somotillo  Nicaragua,earthquake,3.5,10,0.361,2,reviewed,us,us
2016-07-19T07:32:19.270Z,13.0233,-88.8996,57.42,4,mb,,165,0.734,1.31,us,us20006h2l,2016-09-17T01:27:50.040Z,47km SW of Puerto El Triunfo  El Salvador,earthquake,7.4,13.4,0.212,6,reviewed,us,us
2016-07-14T07:02:11.980Z,13.1624,-89.0328,59.58,3.6,mb,,181,0.556,1.15,us,us10006a9i,2016-09-08T01:50:31.040Z,37km S of El Rosario  El Salvador,earthquake,4.4,27,0.501,1,reviewed,us,us
2016-06-21T19:11:31.740Z,12.98,-86.9406,3.8,4.1,mb,,87,0.301,1.11,us,us200066k2,2016-08-27T02:15:33.040Z,7km SSW of Somotillo  Nicaragua,earthquake,1.7,5.8,0.175,10,reviewed,us,us
2016-06-13T14:45:15.860Z,13.0439,-88.5889,62.43,4.4,mb,,67,0.894,1.34,us,us2000642z,2016-08-25T01:22:54.040Z,26km S of Puerto El Triunfo  El Salvador,earthquake,6.6,6.1,0.052,105,reviewed,us,us
2016-06-10T20:57:26.120Z,12.9255,-86.9494,5.14,4.2,mb,,86,0.248,0.76,us,us200064sx,2016-08-25T01:22:50.040Z,13km SSW of Somotillo  Nicaragua,earthquake,4.6,6.3,0.176,9,reviewed,us,us
2016-06-10T13:19:43.470Z,12.9515,-86.9131,2.75,4.3,mb,,85,0.286,1.04,us,us200063i5,2016-08-25T01:22:50.040Z,10km S of Somotillo  Nicaragua,earthquake,6.2,3.1,0.129,17,reviewed,us,us
2016-06-10T13:15:25.440Z,12.9368,-86.8817,5.06,4.2,md,,109,0.29,0.6,us,us20006493,2016-08-25T01:22:50.040Z,12km SSE of Somotillo  Nicaragua,earthquake,3.8,12.6,,,reviewed,us,snet
